pet_mbti,trainer_mbti,mbti_score,activity_match,experience,total_score
ESFJ,ENFJ,0.6827772892421533,0,9,95.0
INTP,ISTJ,0.5259994250329706,0,7,85.79396193595868
ENTP,ENFP,0.8366691592455877,5,1,95.0
ESTP,ENFJ,0.5229408723388467,-5,10,84.80779010011415
ESTP,ISFJ,0.5055329079670825,10,2,91.37220479730301
INFJ,INTJ,0.5831058568485954,0,5,89.59408052375706
ESFP,ESFJ,0.828016092678215,-5,1,94.31442584807301
ISFJ,INFJ,0.5530337101642394,5,10,95.0
ISFJ,ISFP,0.6944006005035122,5,10,95.0
ISTJ,ESFP,0.8620257327268716,10,6,95.0
ENFJ,ESFJ,0.7285126873125949,10,8,95.0
ENTJ,ESTJ,0.8008739942646675,10,7,95.0
INFJ,ESTJ,0.5214718377800185,5,4,78.41846303804228
ISTP,INTJ,0.854250602201839,5,7,95.0
ESTP,ENFP,0.7923099623649231,-5,10,95.0
INTP,ESFP,0.6276530361521864,5,8,95.0
ISTP,ESTJ,0.8806342360904648,5,9,95.0
ENFJ,INTJ,0.7100505217490048,0,9,95.0
ESTP,ISFJ,0.8287263497959365,-5,5,95.0
INTJ,ISFP,0.5857075814301479,0,5,73.96880907631997
ENTP,ISFJ,0.7612791572757204,-5,6,95.0
ISTJ,ISFJ,0.8689423020495947,0,3,95.0
ISFP,ESTJ,0.8095235996333003,0,3,95.0
ESTJ,ENTP,0.5562848498535332,5,10,95.0
ENTJ,INTJ,0.8271128937332182,-5,4,95.0
ISTJ,INTJ,0.8649733483054258,10,4,95.0
INFJ,ISFJ,0.5936139956012516,-5,7,85.18284288935226
ENTP,ENTJ,0.7517825691178335,-5,1,74.09250519487627
ESFJ,ISTJ,0.7603931918148277,5,1,95.0
ISTJ,INTP,0.7100888085329301,5,1,94.86598464413612
ISFP,ENTP,0.8768118150920832,0,7,95.0
ESFJ,INTJ,0.7739913952050416,0,6,95.0
INFJ,ISTP,0.8292624998835751,5,4,95.0
ISTP,ESTP,0.6365159216817269,5,1,83.03022956305567
INTP,INTP,0.6691236278481902,10,9,95.0
ENFJ,ENTP,0.6180017096199439,10,7,95.0
ENFJ,ESFJ,0.7418173905018768,10,3,95.0
ESTJ,ENTP,0.8765000590776868,5,10,95.0
ISFP,INTJ,0.5330150532906732,5,4,81.79598435655667
ESTJ,ENFJ,0.5233650624155114,-5,4,74.24554191539829
INFP,ISTP,0.8619229012299052,-5,7,95.0
INFJ,INFP,0.5262474446117819,5,4,85.59428302998822
ESFP,INTJ,0.6922153893018708,-5,2,71.41591162679653
INFP,ISTJ,0.665101306965867,10,8,95.0
INFJ,ENTP,0.6167241677771287,-5,4,60.52622560256312
ISFJ,ESTP,0.6693342677350844,10,3,95.0
INFJ,ESFP,0.8830897792278753,0,4,95.0
INTJ,ISFJ,0.5590927027516921,0,9,95.0
ENTP,ENTJ,0.8874463456137844,5,8,95.0
ESFJ,ESTJ,0.6768988780481189,5,3,95.0
ESTP,INFJ,0.8973787096011548,0,4,95.0
ESFP,ESTP,0.5484926686614949,-5,7,78.87150020315063
INFJ,ENTP,0.8171478389507929,5,10,95.0
ESFP,ISFP,0.6117021970389999,-5,7,84.91762665838525
INFP,INFP,0.7374788577957283,0,10,95.0
ENFJ,ESTP,0.6841440590698944,10,4,95.0
INTP,ESTJ,0.8536092758536591,5,2,95.0
ISFP,ESFJ,0.8427195744298988,0,3,95.0
ESTP,ESFJ,0.6983587330792294,0,3,94.3413447535649
ISTJ,ENTJ,0.613099881374343,10,10,95.0
ENTP,ESTP,0.5073574543878198,5,3,71.93195924705117
ISFJ,ESTP,0.6782791298419746,10,5,95.0
ENTP,ISTJ,0.8991900766495917,10,8,95.0
ISFP,ISTJ,0.8764977365345069,10,2,95.0
INTP,ENTJ,0.7455223700736417,5,10,95.0
ISTP,ESTJ,0.6337446374715754,-5,3,59.35956787583784
ESFP,ISFJ,0.6235098931022937,-5,1,63.97382284691011
ESTP,ISTP,0.7090686253788503,5,2,94.42471991002513
ESTP,INFP,0.7158380041452872,0,7,95.0
ENTP,ENTJ,0.7512359451433512,-5,5,89.6153462163532
ESFP,INTP,0.5126845936543125,10,7,95.0
ENFP,ISTP,0.7726188185491752,10,5,95.0
ESFJ,ESFP,0.8402248813256847,10,4,95.0
ISTP,INTJ,0.600557954772455,0,4,89.32929321030358
ISTP,ENFP,0.7283456364841585,10,3,95.0
ENFP,ENTP,0.792881772755866,5,5,95.0
ISTJ,ESFJ,0.5319078043293783,10,6,95.0
ISFJ,ESFJ,0.507896898779494,10,1,83.5975225617031
ENTJ,ESFP,0.7110908502103561,0,7,95.0
ISFJ,ISTJ,0.7939688667844209,0,2,85.85302501816251
ISFP,ISFP,0.7436816624365827,-5,8,95.0
ENTJ,ESTJ,0.7016317051924525,5,8,95.0
INFJ,INFJ,0.685762896348166,10,3,95.0
ENTP,ENFP,0.7133566753154831,0,8,95.0
ESFP,INFJ,0.8633018510679435,-5,3,95.0
INTJ,ESFP,0.667667194017392,10,9,95.0
INFJ,ENFJ,0.81279516207972,5,2,95.0
INFJ,ENTP,0.7792598196325269,10,6,95.0
INTJ,ENTP,0.7064385605287623,10,5,95.0
ISTJ,ISTP,0.5403908784380862,5,8,95.0
ESTP,ENFP,0.7971574947827114,5,6,95.0
INTJ,ISFJ,0.6128780260710943,10,3,95.0
ESTP,ISTJ,0.8155852268974075,5,8,95.0
INFJ,ENTJ,0.867487328012966,10,2,95.0
ENTJ,ISTP,0.6881996823802028,5,10,95.0
ISFP,ENFP,0.629123837180595,-5,5,72.56977273982059
ISFP,ISFJ,0.7023153351195905,-5,2,71.19539360361227
ESFP,ENTP,0.7712516985149889,0,2,92.23653918495646
INFJ,ESTJ,0.5477622297860988,5,7,95.0
ESFP,ENTJ,0.5773798101252501,5,7,95.0
ISFP,ISFJ,0.6538807757686214,10,4,95.0
ESFP,INFJ,0.5244204429187282,0,10,95.0
ESTP,ENFJ,0.815174992086209,10,7,95.0
ENFP,ENTJ,0.851565802129445,0,1,89.17941107445557
ENFP,ESTJ,0.665824445584585,0,1,82.26146224683156
INFP,ISFP,0.5545119931349463,-5,2,61.96252267257595
ISTJ,ESFJ,0.6985484474585855,-5,1,70.86383977395
INTJ,ENTP,0.69663221055947,-5,4,85.87914454298885
INFP,ESTJ,0.816840369045551,5,2,95.0
INFP,ESFJ,0.8216906517152065,-5,8,95.0
ENFJ,ESTJ,0.7357849617382222,0,8,95.0
ISTJ,ESTJ,0.7123666848917516,-5,6,84.98335578963511
INTP,ISFJ,0.6139899734941278,0,7,95.0
ENTJ,ISFP,0.5763164785532012,5,4,95.0
ENTP,INFP,0.8825957084631862,0,6,95.0
ESFP,ESTJ,0.7655213645438212,-5,6,90.13595418021666
INFJ,ENTP,0.5438249802734436,5,6,95.0
INTJ,ISTP,0.8217353617629259,10,2,95.0
INFP,INFJ,0.6590229688448223,5,2,95.0
ISTJ,ISFP,0.8772480173715652,0,9,95.0
INTP,INFJ,0.6585790290070874,10,3,95.0
INFP,INTJ,0.6066489112991083,10,10,95.0
ESTP,ISTP,0.6696375174971428,-5,4,71.49751436311936
INTJ,ENTJ,0.6764497237618338,5,3,95.0
ISTJ,INFP,0.7956742272493316,10,3,95.0
INTJ,INTJ,0.5717398821361774,0,1,65.8231776352104
ISFJ,ENTP,0.711575016185338,-5,7,90.38927662770945
ENFP,ENTP,0.8885465513683442,-5,1,90.84600140349797
ENFJ,ESFJ,0.8046673314100634,-5,8,95.0
ESTJ,ESTP,0.5828829286594606,10,4,95.0
INFJ,ISTJ,0.7852432463269499,-5,8,95.0
INFP,ENTJ,0.7969997864269405,10,6,95.0
ESTP,ENFP,0.8670302643363337,10,1,95.0
ESFJ,ENFJ,0.7571725089877246,0,7,95.0
ESFP,ENFJ,0.6231253383010925,-5,8,84.28746487774782
INTJ,ISTP,0.61364955020865,0,3,77.04458274037968
ESFP,ESFJ,0.702913713974453,5,2,91.98279484663928
ESFP,ISFJ,0.8150786098951235,10,1,95.0
INFP,INFJ,0.7029348594727871,-5,3,80.56594307994042
INFJ,ENTP,0.5506068720958757,5,8,95.0
INFJ,ISTJ,0.5560358994605497,10,4,95.0
ESFJ,ESTJ,0.8452941004281208,10,9,95.0
ESFP,ISFJ,0.8929645611982828,0,1,95.0
ENTJ,ISFP,0.7953460927311726,10,8,95.0
INTJ,INTP,0.7344836940568189,-5,2,82.3370627322671
INTJ,INFJ,0.6286572387242159,10,4,95.0
INTP,ISTP,0.5903701917719212,10,4,95.0
INFP,INTP,0.8758414597871507,-5,6,95.0
ENFP,ENFP,0.8545290961633911,0,3,95.0
INFP,ESTP,0.5864151401215516,10,3,88.25427875527558
INFP,INFJ,0.8113345088627257,0,8,95.0
INFP,ISFP,0.828172705214349,-5,4,95.0
ISTP,ENTJ,0.7786690438594084,10,10,95.0
INTP,INTJ,0.6383481824204434,5,5,95.0
ISFJ,ESTP,0.5813548466806142,5,1,85.72911397549422
ENTJ,ISFP,0.5815721098503586,5,9,95.0
ESTP,ENTJ,0.6978083150333911,0,3,91.9467756205805
ENTP,ENFP,0.5248860871326214,10,5,95.0
ESTJ,ENFJ,0.8687616712526696,-5,8,95.0
ESFJ,INTP,0.6652366157476405,-5,5,79.88452310012497
INFP,ISTP,0.8153804237268074,10,2,95.0
ESFJ,ESFP,0.8902002491528607,0,5,95.0
ENTJ,ENTJ,0.5684304681893455,10,10,95.0
ENTJ,ISTJ,0.6797664685315699,5,6,95.0
INFP,ENTP,0.563348783854865,-5,3,67.15644074932462
ISTJ,ENTP,0.7955327811830226,5,10,95.0
ESFP,ISTP,0.8525660286203705,5,6,95.0
INFJ,ISFP,0.661812058742741,-5,10,95.0
ESTJ,ISFP,0.7137450018008948,10,4,95.0
ENTP,ESFP,0.6615479628420491,10,10,95.0
ESTP,ESFJ,0.7015760877389395,-5,8,95.0
ENFP,ENTP,0.7996430665886882,-5,8,95.0
ENTP,INTJ,0.794525838860793,0,7,95.0
ESTP,ESTP,0.8055648168425494,0,1,79.19575446829313
ENFJ,ISFJ,0.6303166862286432,5,5,95.0
ESTP,ESFP,0.7637653361952262,5,1,94.11873066418865
INTP,ESFJ,0.5356550449182584,-5,4,69.6256621103552
INFJ,ENFJ,0.5517792491588424,5,6,95.0
ENTJ,INTP,0.807997219410685,10,8,95.0
ESFP,ENTP,0.5020848358990262,-5,1,53.609521171117905
ISFJ,ISTP,0.8841158837741305,10,8,95.0
ESFJ,ISTJ,0.5509453851995008,0,2,65.14207817553581
ISFJ,ENTP,0.8987626928052835,10,4,95.0
ISFP,ESTP,0.5295563140486717,5,10,95.0
ISTJ,ESTP,0.7717485634584877,5,7,95.0
INFJ,ENTJ,0.8579011841462698,0,6,95.0
ESTJ,ENTP,0.6469407634799518,0,4,91.4431273769858
ENFJ,ENTP,0.5999533939445629,10,3,89.97783733025989
ESFP,ESFJ,0.6183760729017536,10,9,95.0
INFP,ESTP,0.7975033930461566,-5,3,92.40440584366019
INTP,ESFP,0.674403552777521,-5,7,88.46321988928977
ISTP,ESTP,0.7954900733746371,-5,2,83.3301388586687
ENTP,INTJ,0.7909538258030939,10,3,95.0
ENTP,ISTP,0.8780722764900173,10,3,95.0
ISTJ,ISTP,0.7002201728320305,10,9,95.0
ISFJ,INFP,0.88337828077043,10,9,95.0
ISFP,INTJ,0.6637395633433434,10,6,95.0
ISTP,ISTP,0.8613731928194621,5,10,95.0
INTJ,ESTP,0.8008631666600181,5,1,95.0
ENFJ,ESTP,0.8066678902081525,-5,7,95.0
ISFP,ESTP,0.7422355692928286,5,8,95.0
ESFJ,ESTJ,0.8147141363614518,5,6,95.0
INTP,ENFP,0.5352819475059882,-5,4,68.44116014520472
ENTP,INTJ,0.8943019538623626,5,7,95.0
ENFP,ENTP,0.8868279400698509,-5,8,95.0
ISTJ,ESTJ,0.6217527906932583,5,10,95.0
INFJ,ESTP,0.5771196469450768,5,6,95.0
ESFP,ENTJ,0.6319521003394395,10,1,95.0
ISFP,ENFP,0.5424505487413303,0,6,79.16574312326411
ISTP,ESTP,0.7400210627940905,-5,5,82.77151921776212
ENTP,ENTJ,0.83211529481577,0,8,95.0
ENFP,INTJ,0.5918818290512531,5,6,95.0
ESFJ,ISFJ,0.6892458560618783,5,10,95.0
ISTP,ENTP,0.6938986137204259,-5,10,95.0
INTJ,ESTJ,0.7149999083860764,0,6,95.0
ENTJ,ESFJ,0.7953404866000096,-5,2,77.48775684605451
INTJ,ISTP,0.7354334480812775,10,3,95.0
ENTJ,ESFP,0.5674540497235339,5,2,74.5516610802216
ENFP,ESTJ,0.7710282924645923,-5,8,95.0
INTP,INFP,0.8360805692972496,5,8,95.0
ESFP,ENTJ,0.6766285007500674,5,2,95.0
ISFJ,ESTJ,0.8029252602612564,0,8,95.0
ENFJ,ISTJ,0.5399267516593561,10,8,95.0
ENTP,INTP,0.5448769816931857,10,10,95.0
ENFJ,ENFJ,0.8030738439653076,-5,9,95.0
ENTP,ENFP,0.5604569088248634,0,9,95.0
ENFP,ISTP,0.514940343636118,5,2,87.47674747435138
ENTJ,ESFP,0.5089109721593279,0,6,79.48885314351811
ISFJ,ISTJ,0.8242108667040935,5,9,95.0
INFJ,INFP,0.6255194626902475,5,6,95.0
ESFP,ENTJ,0.8845713553945268,5,5,95.0
ISFP,INTP,0.7938205338092787,0,10,95.0
ESTJ,INTP,0.8272031609354502,5,3,95.0
ESFP,ENFP,0.653194730593847,-5,2,78.17686089234712
ESTP,ESFJ,0.8265520307604688,10,1,95.0
ESFJ,ENFJ,0.7294825012931868,0,7,95.0
ENFJ,ESFP,0.5279797863970532,10,9,95.0
ISTJ,ENTJ,0.8014977484769434,-5,3,80.75996033245283
ESFJ,INTJ,0.6101751938729181,5,8,95.0
INFJ,ESTJ,0.8666963136758361,-5,4,93.81071028890602
INFP,ENFP,0.8373384175391798,10,4,95.0
ENTP,ENTP,0.78904948544628,5,9,95.0
ENFP,ENFJ,0.5737976956540721,-5,9,79.60090726148348
ENTP,ESTJ,0.7889943265340287,0,8,95.0
ENFJ,ESTP,0.8354190327255844,10,4,95.0
ESFJ,ISTJ,0.5111464342712305,-5,5,58.501856018233326
ENFJ,ISFP,0.8165158994033872,5,10,95.0
ESFP,ISTJ,0.555261324828313,5,6,89.90163088824096
ISFJ,INFP,0.561162982614496,-5,4,60.395591874329284
ISTJ,ENFP,0.6746007614497571,5,5,94.9856787342573
ESFP,INFJ,0.7014545948435428,0,2,89.5771413976644
INTP,INTP,0.6387892980636709,-5,9,89.28775283979748
INFJ,ESTP,0.5243457688652983,-5,6,70.1105847043975
ISFP,ENFJ,0.5381037965930675,-5,9,95.0
ESTP,ESTJ,0.8729596292265924,-5,2,86.41901783125772
ENTP,ESFP,0.8977872699708,10,3,95.0
ENFJ,INTJ,0.5953433332096942,5,9,95.0
ESTP,ISFP,0.8993920803711557,-5,8,95.0
INTP,ENTP,0.6189165548553917,5,5,95.0
ENFP,ENFP,0.6251210534471574,-5,4,77.65245517333436
ENTP,ENFJ,0.6381020556329153,0,4,91.49666913348
ESFJ,INTP,0.7270719692706398,0,5,95.0
ISFP,ENTJ,0.8266230227116247,5,1,95.0
INTP,ISFJ,0.8941891655332308,10,7,95.0
ISTJ,INTP,0.7581630493433422,0,2,93.71982924058665
ESTP,INTP,0.8956552245917361,5,6,95.0
INTP,INTJ,0.7804763711576996,0,8,95.0
ESTJ,ENFP,0.5037183801803008,10,10,95.0
ESFP,ESTP,0.6868336422074508,5,1,89.30026478847438
ENTJ,ISFP,0.7756405809433957,10,9,95.0
ENTJ,INTP,0.645469553450206,10,9,95.0
ISFP,ENTJ,0.5208042985451061,-5,9,85.52145990766124
INTP,INTP,0.7379340484367987,5,9,95.0
ISFP,ISTJ,0.6583810178502534,5,8,95.0
ISFJ,ENTJ,0.8438510540518,5,8,95.0
ESTJ,ISTJ,0.7421518938597342,-5,8,95.0
ISTJ,ENFP,0.834611765480201,0,8,95.0
INTP,ESTP,0.8323859612141777,10,3,95.0
ISTJ,ENFP,0.6610217889953539,0,8,95.0
INTP,ENTP,0.6123197254584658,0,3,92.7678173827701
ENTP,ENFJ,0.5253906329454581,10,9,95.0
ESFP,ESFJ,0.6137276897997618,10,1,88.00672108719318
ISTP,ISTJ,0.5361962791478507,5,7,95.0
ISFJ,INFJ,0.8799425560086213,10,5,95.0
INTP,ENTP,0.5889697093626294,-5,7,84.88095153321643
ENTJ,ENTJ,0.6319192025709272,10,2,92.92040679997275
ENTP,ISFP,0.6541846435488129,0,7,95.0
INFP,INFP,0.7007121885134784,0,1,78.42405150781426
INFJ,ISTJ,0.8942967928168704,-5,9,95.0
INFP,ISFP,0.636146061162879,-5,7,85.4399808482329
ENTP,ESFJ,0.8350266820819611,0,7,95.0
ISFP,ESTJ,0.8275277056316989,5,2,95.0
ENTP,ENFP,0.7737398565661038,10,1,95.0
ENFJ,ENFP,0.5778118742292719,5,3,86.09973913696648
ISFJ,ESFJ,0.7837679181428605,0,7,95.0
ENFP,INTJ,0.6527402715685885,5,7,95.0
ISFJ,ESTJ,0.5778142121134319,-5,4,76.36457343648452
ESFP,INFJ,0.8082155200079755,-5,6,95.0
INFJ,INFJ,0.6836003044814433,10,8,95.0
ESFP,ENFP,0.574517054873152,-5,3,78.23373874462904
ENFJ,INFP,0.7871720546232137,10,6,95.0
ENFP,ESFP,0.7335629808824209,0,3,94.91785168742477
ESFP,INFJ,0.7230532019798147,-5,7,95.0
ESFJ,ENFJ,0.5764663261416765,0,5,94.74322212843121
ENFJ,INTJ,0.5451637510861195,10,5,95.0
ISFJ,ENFP,0.7953320910687567,-5,3,87.35100507315323
ENTP,ISTJ,0.6433381581763671,0,10,95.0
ENTP,INFP,0.853644234367336,-5,2,95.0
ISFP,ESTJ,0.7780574946561569,10,4,95.0
ENTP,ENTP,0.5303133409343378,10,9,95.0
ISFJ,INFP,0.6137363767751588,10,5,95.0
ISFJ,ISTP,0.8903380641000436,-5,10,95.0
INFP,INFP,0.7850474251144755,5,1,88.88630977964169
ESTJ,ENTP,0.6754511926796685,10,10,95.0
ENTJ,ENFJ,0.6056635333456183,-5,8,84.13478704872108
ENTJ,ESTP,0.638825867812546,5,1,77.61165957097172
ENTJ,INFP,0.8518951689827853,0,7,95.0
INFJ,INFJ,0.568580847301573,-5,5,72.05496028203913
ESFJ,ISFP,0.528555226681952,10,10,95.0
ENTJ,ENFJ,0.7632999536406275,0,6,95.0
ISFJ,ENFP,0.8513753785864476,-5,1,80.64526293249482
ESFJ,ENFJ,0.8878482821275377,5,10,95.0
INTJ,ESTJ,0.6806821247900277,5,2,92.06214365877747
ESFP,INFJ,0.5221466836125589,10,1,83.51168381145088
INFJ,ENTP,0.680764913130344,5,10,95.0
ENFJ,ESFJ,0.7885098026726018,10,4,95.0
ISTP,ESFJ,0.7482134693693874,0,7,95.0
ESFJ,ESTP,0.6014276790943652,-5,10,94.85637667624638
ESFJ,ENTJ,0.5171217689155255,5,8,95.0
ENFJ,ENTP,0.594361271825472,0,5,74.41865912133046
ISFJ,ISFJ,0.6877753501994677,-5,8,95.0
INFJ,ISTP,0.5362569406755923,0,6,83.18022563919106
ESFP,ISFJ,0.5296994244025627,0,4,71.40258473885801
ISTJ,INFP,0.5044209797596995,5,2,75.36680660284166
ISFJ,ESTP,0.694894023779508,5,1,89.70902870402915
ENFJ,ISFP,0.6101116867828866,0,1,80.10011972113679
INTJ,ISTP,0.6315589221968295,10,9,95.0
INFP,ISTJ,0.6191700021897979,0,9,91.73793281581375
ENTJ,ESTP,0.5267988771615502,10,3,88.78166776446017
ESTJ,INTP,0.6023540290568107,10,1,94.74962105361747
ESFJ,ESTP,0.5637312405533288,5,1,86.67190054507151
ISTJ,ESTJ,0.5680923286208813,5,3,77.32700434960601
ESTP,INTJ,0.6104533428058624,10,8,95.0
ENTJ,ESTJ,0.6979297954208722,10,6,95.0
ISFJ,INTJ,0.7500313228492181,0,3,94.46980574445523
INTJ,ENTP,0.8669097839926447,10,9,95.0
ESFP,ENFJ,0.8148579830787221,5,8,95.0
ISFP,ENTP,0.7909937708230638,0,10,95.0
ESTP,INTP,0.7287800851060975,10,2,95.0
INFJ,ENFJ,0.5904566027966649,0,8,95.0
ENTJ,ISFJ,0.6902973932856518,10,9,95.0
ISFJ,ISTP,0.7071201294907639,-5,5,84.59918940845535
INFJ,ENFP,0.8888659051952474,-5,10,95.0
INFP,ESFP,0.6347902640983535,0,10,95.0
ESFJ,ISFP,0.665518672904281,5,5,95.0
INFJ,INTJ,0.5130041179996151,5,5,82.1606776104727
ESFJ,ESTP,0.5683533682224178,10,9,95.0
ISFJ,ESFP,0.6715442085213056,0,8,95.0
ENTP,ENTJ,0.656181940137638,5,7,95.0
ENTP,ISFP,0.7362713169901638,5,9,95.0
ESFP,ISTP,0.6037010812808187,10,6,95.0
ENTJ,INTP,0.5296235769619837,10,3,89.38774494739535
ISFJ,ENTJ,0.8876356432972521,10,6,95.0
ISTJ,INTJ,0.7689460523076252,0,8,95.0
INFJ,INFJ,0.7835495283696436,-5,10,95.0
ESFP,ESTP,0.6148977906625321,0,8,95.0
ISFJ,ENFP,0.8229689536055551,0,1,89.68418272941308
ENFP,ESTJ,0.8035552492873446,5,5,95.0
ESTJ,ESFP,0.6166937489550581,0,4,85.05895662441556
ESTJ,ESTJ,0.7126549028644983,-5,4,87.177230659184
ESFJ,INTJ,0.617673069116567,0,4,86.66999224231635
ESTJ,ENTJ,0.7816846349538142,5,8,95.0
INTP,ISFP,0.8009582242788456,10,6,95.0
ISTJ,ENTJ,0.5577091091516713,-5,3,68.76319816302923
ISFP,ESFJ,0.6947794846186794,0,8,95.0
ENTJ,ISTJ,0.5207300737680998,-5,8,71.81688743932759
INFP,ESFJ,0.739131456009391,10,4,95.0
INFJ,INTJ,0.7128493488290657,0,6,95.0
ISTP,ESFP,0.6527254461755336,-5,5,80.93916159020462
INFJ,ISFP,0.5297621131706909,0,7,82.44770379847978
ISFJ,ENTJ,0.7301241084923252,0,7,95.0
ESFP,ENTP,0.6823823617943618,0,6,95.0
ENFJ,ISTJ,0.7585478843540352,0,4,95.0
ENFJ,ENTJ,0.5313196960407552,10,10,95.0
ENFP,ISFJ,0.8053602843148813,0,1,95.0
ENTP,ENFJ,0.8118974506808144,-5,3,95.0
ISTJ,ENFP,0.6361891196206307,0,3,88.69448157919237
ESTJ,ENFP,0.5462329673977718,10,7,95.0
ISFJ,ISTJ,0.6841982754713709,-5,1,78.36144939635918
INFP,ISTJ,0.5885214366132465,5,6,95.0
INTP,ISFP,0.8938027795167949,0,4,95.0
ISTP,ENTJ,0.8374345449292278,10,7,95.0
ESTJ,ENTP,0.7241395890758782,0,3,82.43998685208958
ISFJ,INFP,0.5617146312999843,-5,1,63.582824574073456
INFJ,ESTP,0.5732527274531815,5,7,95.0
INTP,INFJ,0.8757489921103807,-5,1,95.0
ESFJ,INFJ,0.6645838165810095,10,7,95.0
ISTJ,ISFJ,0.5983548330287249,-5,8,94.54139269991967
ESTP,ESTJ,0.7299629142893087,5,1,95.0
INTJ,INTP,0.6945590531224548,5,3,95.0
ENFJ,ISTP,0.7253615603317634,-5,9,95.0
ISTP,INFJ,0.7747445010171075,0,3,95.0
ENTP,INFJ,0.7844088021361677,0,1,82.14881538013019
INTJ,INFP,0.6011391649138647,10,3,95.0
ESFP,ENTJ,0.7564584911200396,-5,5,90.05389455943286
ESTJ,ESFJ,0.6589745839692711,10,2,95.0
ISTP,ENFJ,0.539377820394183,10,8,95.0
ISTJ,ISTJ,0.8304146107868638,10,8,95.0
ESTJ,INFP,0.8863665752641201,-5,7,95.0
ENTJ,INTP,0.6528822472940182,10,7,95.0
INTJ,INTJ,0.7859912017007511,10,8,95.0
ENTJ,ENTJ,0.6453757772190438,10,4,95.0
ESTJ,INFP,0.6849815468110616,5,3,95.0
INTP,ISTP,0.5843738308194502,5,4,82.97254644482494
ESFP,ENFP,0.7196417251737316,10,5,95.0
ENFP,ISFJ,0.5549340871061105,-5,3,63.36691960140955
INTJ,ISFP,0.8828754955159632,10,6,95.0
INTP,ESFP,0.6270500851163663,0,2,71.47783790651341
ESTJ,ISFP,0.7525691944154594,0,8,95.0
INTP,ESFJ,0.8596768104930153,-5,4,95.0
INTJ,INFP,0.8467136570617293,10,10,95.0
ENTP,INTP,0.8463611164873484,0,9,95.0
INFP,ENFP,0.5201771590086252,5,9,95.0
INTP,INFP,0.7397414441807665,-5,9,95.0
ISFP,ESTP,0.781570761683406,-5,6,95.0
